state_name,anti_american_indian_or_alaska_native_2019,anti_black_or_african_american_2019,anti_other_race_ethnicity_ancestry_2019,anti_hispanic_or_latino_2019,anti_multiple_races_group_2019,anti_white_2019,anti_arab_2019,anti_asian_2019,anti_native_hawaiian_or_other_pacific_islander_2019,all_hate_crimes_2019,anti_black_or_african_american_2020,anti_white_2020,anti_american_indian_or_alaska_native_2020,anti_arab_2020,anti_asian_2020,anti_hispanic_or_latino_2020,anti_multiple_races_group_2020,anti_other_race_ethnicity_ancestry_2020,anti_native_hawaiian_or_other_pacific_islander_2020,all_hate_crimes_2020,percent_change_all
Alaska,1,2,1,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,2,-50
Arizona,3,43,2,11,2,3,0,0,0,64,53,16,4,1,3,18,5,1,0,101,57.8125
Arkansas,0,3,0,1,0,1,0,0,0,5,8,7,0,0,0,1,0,1,0,17,240
California,1,115,20,57,12,18,12,16,0,251,231,45,1,4,35,72,14,29,0,431,71.71314741035857
Colorado,1,25,4,17,2,5,3,4,0,61,50,14,3,1,2,16,6,3,0,95,55.73770491803278
Connecticut,0,6,1,8,0,4,1,1,0,21,17,2,0,0,1,4,3,1,0,28,33.33333333333333
Delaware,0,2,0,1,0,2,0,0,0,5,3,0,0,0,0,0,0,1,0,4,-20
District of Columbia,0,11,21,9,0,12,3,0,0,56,9,2,0,0,1,10,0,9,0,31,-44.642857142857146
Federal,0,16,0,3,6,2,0,0,0,27,43,0,0,1,8,3,3,1,0,59,118.5185185185185
Florida,0,13,1,2,0,6,1,1,0,24,24,3,0,0,2,2,1,1,0,33,37.5
Georgia,0,24,1,8,2,20,0,3,0,58,44,28,1,0,0,8,3,5,0,89,53.44827586206896
Hawaii,0,7,0,0,0,7,0,0,2,16,4,8,0,1,1,0,1,0,0,15,-6.25
Idaho,0,5,0,0,0,1,0,1,0,7,7,1,0,0,1,5,1,0,0,15,114.28571428571428
Illinois,0,13,2,2,0,2,0,1,0,20,12,1,0,0,1,3,0,1,0,18,-10
Indiana,0,11,2,8,1,4,0,0,0,26,31,21,1,0,1,3,2,0,1,60,130.76923076923077
Iowa,0,2,0,0,0,0,0,1,0,3,8,0,0,0,0,0,1,2,0,11,266.66666666666663
Kansas,0,9,0,4,0,6,0,0,0,19,31,8,0,0,1,1,0,0,0,41,115.78947368421053
Kentucky,5,30,0,3,2,8,2,0,0,50,38,12,1,0,2,4,3,4,0,64,28.000000000000004
Louisiana,1,3,1,1,0,1,0,0,0,7,9,4,0,0,1,0,1,0,1,16,128.57142857142858
