player,age,g,gs,mp,fg,x3p,x2p,ft,trb,ast,stl,blk,tov,pf,pts
Aaron Gordon,24,62,62,32.5,5.4,1.2,4.2,2.4,7.7,3.7,0.8,0.6,1.6,2,14.4
Aaron Holiday,23,66,33,24.5,3.5,1.3,2.2,1.1,2.4,3.4,0.8,0.2,1.3,1.8,9.5
Abdel Nader,26,55,6,15.8,2.2,0.9,1.4,0.9,1.8,0.7,0.4,0.4,0.8,1.4,6.3
Adam Mokoka,21,11,0,10.2,1.1,0.5,0.5,0.2,0.9,0.4,0.4,0,0.2,1.5,2.9
Admiral Schofield,22,33,2,11.2,1.1,0.6,0.5,0.3,1.4,0.5,0.2,0.1,0.2,1.5,3
Al-Farouq Aminu,29,18,2,21.1,1.4,0.5,0.8999999999999999,1.1,4.8,1.2,1,0.4,0.8999999999999999,1.5,4.3
Al Horford,33,67,61,30.2,4.8,1.5,3.3,0.9,6.8,4,0.8,0.9,1.2,2.1,11.9
Alec Burks,28,132,38,26.6,4.890909090909091,1.8,3.090909090909091,3.5863636363636364,4.281818181818182,2.8636363636363638,0.9090909090909091,0.29545454545454547,1.3909090909090909,1.9136363636363636,15.01818181818182
Alen Smailagić,19,14,0,9.9,1.4,0.2,1.2,1.1,1.9,0.9,0.2,0.3,0.8,1,4.2
Alex Caruso,25,64,2,18.4,1.9,0.6,1.3,1.1,1.9,1.9,1.1,0.3,0.8,1.5,5.5
Alex Len,26,110,24,17.60909090909091,3.2227272727272727,0.3090909090909091,2.9136363636363636,1.2227272727272727,5.840909090909091,0.9181818181818182,0.4090909090909091,0.8772727272727273,1.0136363636363637,2.3,7.968181818181818
Alfonzo McKinnie,27,40,1,14.8,1.8,0.4,1.5,0.6,2.8,0.4,0.6,0.2,0.7,1.8,4.6
Alize Johnson,23,17,1,6.9,0.7,0.2,0.5,0.4,2.8,0.4,0.2,0.1,0.4,0.7,2
Allen Crabbe,27,74,2,17.613513513513514,1.7148648648648648,1.0013513513513514,0.7256756756756757,0.27567567567567564,2.0783783783783782,0.9013513513513514,0.3891891891891892,0.08783783783783784,0.47432432432432436,1.287837837837838,4.618918918918919
Allonzo Trier,24,24,1,12.1,2.1,0.8000000000000002,1.3,1.3999999999999997,1.2,1.2,0.10000000000000002,0.20000000000000004,0.9,1.2,6.5
Amile Jefferson,26,18,0,4.1,0.3,0,0.3,0.3,1.3,0.2,0.1,0.2,0.2,0.4,0.8
Amir Coffey,22,18,1,8.8,1.3,0.3,0.8999999999999999,0.3,0.8999999999999999,0.8,0.3,0.1,0.4,1.1,3.2
Andre Drummond,26,114,112,33,7.3,0.0850877192982456,7.214912280701754,2.9649122807017543,15.170175438596493,2.6798245614035086,1.9149122807017545,1.6289473684210525,3.6,3.514912280701754,17.728947368421053
Andre Iguodala,36,21,0,19.9,1.8000000000000003,0.7,1.1,0.3,3.7,2.4,0.7,1,1.2,1.6999999999999997,4.6
Andre Roberson,28,7,0,12.4,1.1,0.4,0.7,0.1,3.9,0.6,0.1,0.4,0.3,1.9,2.9
Andrew Wiggins,24,108,108,34.388888888888886,8.116666666666667,2.0944444444444446,6.022222222222223,3.488888888888889,5.083333333333333,3.688888888888889,0.8166666666666667,1.0055555555555555,2.4055555555555554,2.3777777777777778,21.76666666666667
Anfernee Simons,20,70,4,20.7,3.1,1.1,2,1.1,2.2,1.4,0.4,0.1,0.9,1.9,8.3
Ante Žižić,23,22,0,10,1.9,0,1.9,0.6,3,0.3,0.3,0.2,0.5,1.2,4.4
Anthony Davis,26,62,62,34.4,8.9,1.2,7.7,7.2,9.3,3.2,1.5,2.3,2.5,2.5,26.1
Anthony Tolliver,34,110,26,15.885454545454545,1.1918181818181817,0.89,0.3018181818181818,0.38727272727272727,2.7836363636363637,0.7890909090909091,0.3018181818181818,0.21000000000000002,0.5954545454545455,1.3172727272727274,3.6190909090909087
Antonius Cleveland,25,11,0,4.2,0.4,0,0.4,0.3,0.6,0.1,0.1,0.3,0.2,0.7,1
Anžejs Pasečņiks,24,27,0,16.2,2.3,0,2.3,1.3,4,0.7,0.3,0.4,0.9,2.8,5.8
Aron Baynes,33,42,28,22.2,4.4,1.4,3,1.3,5.6,1.6,0.2,0.5,1.2,3.3999999999999995,11.5
Austin Rivers,27,68,4,23.4,3.1,1.4,1.7,1.1,2.6,1.7,0.7,0.1,0.7,1.9,8.8
Avery Bradley,29,49,44,24.2,3.5,1.3,2.2,0.4,2.3,1.3,0.9,0.1,1,2.2,8.6
B.J. Johnson,24,10,0,8.3,0.9,0.3,0.6,0.9,1.5,0.3,0.3,0,0.6,0.3,3
Bam Adebayo,22,72,72,33.6,6.1,0,6.1,3.7000000000000006,10.2,5.1,1.1,1.3,2.8,2.5,15.899999999999999
Ben McLemore,26,71,23,22.8,3.4,2.5,0.9,0.7,2.2,0.8,0.6,0.2,0.7,2.2,10.1
Ben Simmons,23,57,57,35.4,6.6,0,6.5,3.2,7.8,8,2.1,0.6,3.5,3.3,16.4
Bismack Biyombo,27,53,29,19.399999999999995,2.7999999999999994,0,2.7999999999999994,1.7,5.8,0.9,0.20000000000000004,0.9,0.9,2.2,7.400000000000001
Blake Griffin,30,18,18,28.4,4.9,1.5,3.4,4.2,4.7,3.3,0.4,0.4,2.2,1.5,15.5
Boban Marjanović,31,44,5,9.6,2.8,0.1,2.7,1,4.5,0.5,0.2,0.2,0.7,1.3,6.6
Bobby Portis,24,66,5,21.1,4,1,3,1.1,5.1,1.5,0.5,0.3,1.1,1.7,10.1
Bogdan Bogdanović,27,61,28,29,5.5,2.7,2.8,1.4,3.4,3.4,1,0.2,1.7,2.2,15.1
