Player,Team,Position,Age,Games,Receptions_per_Game,Receiving_Yards_per_Game,Rushing_Yards_per_Game,Rushing_Attempts_per_Game
A.J. Brown,TEN,WR,22,16,3.3,65.7,3.8,0.2
A.J. McCarron,HOU,NA,29,2,0,0,19.5,2.5
Aaron Jones,GNB,RB,25,16,3.1,29.6,67.8,14.8
Aaron Rodgers,GNB,QB,36,16,0,0,11.4,2.9
Adam Humphries,TEN,NA,26,12,3.1,31.2,0.1,0.1
Adam Shaheen,CHI,NA,25,8,1.1,9.3,NA,NA
Adam Thielen,MIN,WR,29,10,3,41.8,0.6,0.4
Adrian Peterson,WAS,RB,34,15,1.1,9.5,59.9,14.1
Albert Wilson,MIA,NA,27,13,3.3,27,3.5,0.4
Alec Ingold,OAK,NA,23,16,0.4,2.8,1.1,0.6
Alex Armah,CAR,NA,25,16,0.1,0.4,0.7,0.4
Alex Erickson,CIN,wr,27,16,2.7,33.1,2.1,0.3
Alexander Hollins,MIN,NA,23,5,0.4,9.2,NA,NA
Alexander Mattison,MIN,NA,21,13,0.8,6.3,35.5,7.7
Alfred Morris,ARI,NA,31,1,0,0,4,1
Allen Hurns,MIA,WR,28,14,2.3,29.7,NA,NA
Allen Lazard,GNB,NA,24,16,2.2,29.8,1.3,0.1
Allen Robinson,CHI,WR,26,16,6.1,71.7,0.1,0.1
Alshon Jeffery,PHI,WR,29,10,4.3,49,0.2,0.1
Alvin Kamara,NOR,RB,24,14,5.8,38.1,56.9,12.2
Amari Cooper,DAL,WR,25,16,4.9,74.3,0.4,0.1
Ameer Abdullah,MIN,NA,26,16,0.9,5.5,7.2,1.4
Andre Patton,LAC,WR,25,13,0.5,4.3,NA,NA
Andre Roberts,BUF,NA,31,13,0.2,1.5,0.5,0.1
Andrew Beck,DEN,te,23,16,0.6,5.6,0.2,0.1
Andy Dalton,CIN,QB,32,13,0.1,-0.3,5.6,2.5
Andy Isabella,ARI,NA,23,15,0.6,12.6,1,0.3
Andy Janovich,DEN,/fb,26,7,0.7,6,0.1,0.1
Anthony Firkser,TEN,NA,24,15,0.9,13.6,NA,NA
Anthony Levine,BAL,NA,32,16,0,0,3.9,0.1
Anthony Miller,CHI,WR,25,16,3.3,41,-0.1,0.1
Anthony Sherman,KAN,NA,31,16,0.1,1.4,0.6,0.3
Antonio Brown,NWE,NA,31,1,4,56,5,1
Antonio Callaway,CLE,NA,22,4,2,22.3,NA,NA
Antony Auclair,TAM,te,26,8,0.1,1.4,NA,NA
Ashton Dulin,IND,NA,22,13,0.2,1.3,NA,NA
Auden Tate,CIN,WR,22,12,3.3,47.9,NA,NA
Austin Carr,NOR,NA,26,6,0.2,1.5,NA,NA
Austin Ekeler,LAC,rb,24,16,5.8,62.1,34.8,8.3
Austin Hooper,ATL,TE,25,13,5.8,60.5,NA,NA
Baker Mayfield,CLE,QB,24,16,0,0,8.8,1.8
Ben Braunecker,CHI,NA,25,11,0.5,5.4,NA,NA
Ben Koyack,JAX,te,26,11,0.1,0.8,NA,NA
Ben Roethlisberger,PIT,NA,37,2,0,0,3.5,0.5
Ben Watson,NWE,te,39,10,1.7,17.3,NA,NA
Bennie Fowler,NYG,NA,28,8,2.9,24.1,2.5,0.1
Benny Snell Jr.,PIT,NA,21,13,0.2,1.8,32.8,8.3
Bilal Powell,NYJ,/rb,31,13,0.5,2.5,17.6,4.5
Blake Bell,KAN,TE,28,15,0.5,4.5,NA,NA
Blake Jarwin,DAL,te,25,16,1.9,22.8,NA,NA
Bo Scarbrough,DET,rb,25,6,0.2,0.8,62.8,14.8
Bobo Wilson,TAM,NA,24,6,0.5,5.8,NA,NA
Boston Scott,PHI,NA,24,11,2.2,18.5,22.3,5.5
Brandin Cooks,LAR,WR,26,14,3,41.6,3.7,0.4
Brandon Allen,DEN,NA,27,3,0,0,13,3.3
Brandon Bolden,NWE,NA,29,15,0.6,7.4,4.5,1
Brandon Zylstra,CAR,NA,26,8,1,13.3,NA,NA
Braxton Berrios,NYJ,NA,24,16,0.4,7.2,NA,NA
Breshad Perriman,TAM,/wr,26,14,2.6,46.1,1.1,0.1
Brett Hundley,ARI,NA,26,3,0,0,13.7,2.3
Brian Hill,ATL,NA,24,12,0.8,5.8,26.9,6.5
Brian Hoyer,IND,/qb,34,4,0,0,0.5,2
Buddy Howell,HOU,NA,23,16,0,0,0.6,0.3
Byron Pringle,KAN,NA,26,16,0.8,10.6,NA,NA
C.J. Anderson,DET,NA,28,2,0,0,21.5,8
C.J. Board,JAX,NA,26,4,0.5,7.8,NA,NA
C.J. Ham,MIN,FB,26,16,1.1,9.3,1.1,0.4
C.J. Prosise,SEA,NA,25,9,1.1,8.4,8,2.6
C.J. Uzomah,CIN,TE,26,16,1.7,15.1,NA,NA
Calvin Ridley,ATL,WR,25,13,4.8,66.6,2.6,0.2
Cam Sims,WAS,NA,23,7,0.3,3.9,NA,NA
Cameron Brate,TAM,TE,28,16,2.3,19.4,NA,NA
Carlos Hyde,HOU,RB,29,16,0.6,2.6,66.9,15.3
Carson Wentz,PHI,QB,27,16,0,0,15.2,3.9
Case Keenum,WAS,QB,31,10,0,0,1.2,0.9
Cedrick Wilson Jr.,DAL,NA,24,6,0.8,7.7,NA,NA
Cethan Carter,CIN,NA,24,15,0.1,0.9,NA,NA
Chad Beebe,MIN,NA,25,3,0.7,23.3,NA,NA
Charles Clay,ARI,TE,30,15,1.2,15.8,NA,NA
Charles Jones,JAX,NA,23,4,0.3,1.3,NA,NA
Chase Daniel,CHI,/qb,33,3,0,0,2,2
Chase Edmonds,ARI,NA,23,13,0.9,8.1,23.3,4.6
Chester Rogers,IND,wr,25,12,1.3,14.9,1.5,0.1
Chris Carson,SEA,RB,25,15,2.5,17.7,82,18.5
Chris Conley,JAX,WR,27,16,2.9,48.4,NA,NA
Chris Godwin,TAM,WR,23,14,6.1,95.2,0.6,0.1
Chris Herndon,NYJ,NA,23,1,1,7,NA,NA
Chris Hogan,CAR,/wr,32,7,1.1,9.6,NA,NA
Chris Lacy,DET,NA,23,7,0.4,8.6,NA,NA
Chris Manhertz,CAR,te,27,15,0.1,0.7,NA,NA
Chris Moore,BAL,NA,26,14,0.2,1.5,0,0.1
Chris Thompson,WAS,NA,29,11,3.8,34.4,12.5,3.4
Christian Blake,ATL,NA,23,9,1.2,10.1,NA,NA
Christian Kirk,ARI,WR,23,13,5.2,54.5,7.2,0.8
